U1001,Non-smoker,non-drinker,informal,family,medium
U1002,Non-smoker,non-drinker,informal,family,low
U1003,Non-smoker,heavy drinker,formal,friends,high
U1004,Non-smoker,non-drinker,informal,family,medium
U1005,Non-smoker,non-drinker,informal,family,medium
U1006,Smoker,heavy drinker,smart casual,friends,medium
U1007,Non-smoker,casual drinker,informal,solitary,low
U1008,Non-smoker,heavy drinker,formal,solitary,low
U1009,Non-smoker,non-drinker,formal,family,medium
U1010,Non-smoker,heavy drinker,smart casual,friends,medium
U1011,Non-smoker,non-drinker,smart casual,family,medium
U1012,Non-smoker,casual drinker,formal,family,medium
U1013,Non-smoker,non-drinker,smart casual,friends,medium
U1014,Non-smoker,non-drinker,Informal,friends,medium
U1015,Smoker,heavy drinker,informal,solitary,medium
U1016,Non-smoker,casual drinker,informal,friends,medium
U1017,Non-smoker,casual drinker,formal,family,medium
U1018,Smoker,casual drinker,formal,friends,low
U1019,Non-smoker,casual drinker,smart casual,family,medium
U1020,Non-smoker,non-drinker,smart casual,friends,medium
U1021,Non-smoker,heavy drinker,smart casual,friends,medium
U1022,Non-smoker,casual drinker,formal,family,medium
U1023,Non-smoker,casual drinker,informal,friends,low
U1024,Non-smoker,non-drinker,Formal,solitary,High
U1025,Non-smoker,heavy drinker,smart casual,solitary,medium
U1026,Non-smoker,non-drinker,formal,family,medium
U1027,Smoker,heavy drinker,smart casual,friends,low
U1028,Non-smoker,non-drinker,smart casual,family,medium
U1029,Smoker,casual drinker,formal,family,low
U1030,Non-smoker,casual drinker,formal,family,medium
U1031,Non-smoker,non-drinker,informal,solitary,medium
U1032,Non-smoker,non-drinker,formal,family,medium
U1033,Non-smoker,heavy drinker,smart casual,family,low
U1034,Non-smoker,casual drinker,informal,family,medium
U1035,Smoker,casual drinker,smart casual,friends,medium
U1036,Non-smoker,heavy drinker,informal,friends,medium
U1037,Non-smoker,casual drinker,smart casual,family,low
U1038,Smoker,non-drinker,smart casual,family,low
U1039,Non-smoker,heavy drinker,smart casual,friends,medium
U1040,Non-smoker,non-drinker,smart casual,friends,medium
U1041,Non-smoker,non-drinker,smart casual,friends,medium
U1042,Non-smoker,non-drinker,smart casual,family,high
U1043,Non-smoker,non-drinker,smart casual,solitary,medium
U1044,Smoker,heavy drinker,informal,solitary,medium
U1045,Non-smoker,casual drinker,formal,friends,high
U1046,Non-smoker,heavy drinker,smart casual,friends,medium
U1047,Non-smoker,non-drinker,smart casual,family,medium
U1048,Smoker,casual drinker,smart casual,friends,medium
U1049,Non-smoker,casual drinker,informal,solitary,Low
U1050,Non-smoker,non-drinker,smart casual,family,medium
U1051,Non-smoker,casual drinker,smart casual,family,medium
U1052,Smoker,heavy drinker,smart casual,family,low
U1053,Non-smoker,casual drinker,informal,family,low
U1054,Non-smoker,heavy drinker,formal,family,medium
U1055,Non-smoker,non-drinker,smart casual,family,medium
U1056,Non-smoker,heavy drinker,informal,solitary,medium
U1057,Smoker,casual drinker,formal,friends,medium
U1058,Non-smoker,non-drinker,formal,family,low
U1059,Non-smoker,non-drinker,formal,friends,medium
U1060,Non-smoker,casual drinker,formal,family,medium
U1061,Non-smoker,heavy drinker,smart casual,friends,medium
U1062,Non-smoker,casual drinker,informal,friends,medium
U1063,Non-smoker,casual drinker,formal,family,medium
U1064,Non-smoker,casual drinker,formal,solitary,medium
U1065,Non-smoker,non-drinker,formal,friends,medium
U1066,Non-smoker,non-drinker,informal,solitary,low
U1067,Non-smoker,non-drinker,smart casual,family,medium
U1068,Non-smoker,casual drinker,informal,friends,low
U1069,Non-smoker,heavy drinker,smart casual,solitary,medium
U1070,Non-smoker,casual drinker,informal,friends,low
U1071,Non-smoker,non-drinker,formal,friends,high
U1072,Non-smoker,casual drinker,smart casual,family,medium
U1073,Non-smoker,non-drinker,informal,solitary,medium
U1074,Smoker,casual drinker,smart casual,family,medium
U1075,Non-smoker,casual drinker,informal,family,medium
U1076,Non-smoker,heavy drinker,formal,Friends,medium
U1077,Non-smoker,non-drinker,formal,family,medium
U1078,Smoker,heavy drinker,informal,solitary,medium
U1079,Non-smoker,non-drinker,formal,family,medium
U1080,Smoker,heavy drinker,formal,friends,low
U1081,Non-smoker,casual drinker,informal,family,low
U1082,Smoker,non-drinker,informal,friends,medium
U1083,Non-smoker,non-drinker,smart casual,family,medium
U1084,Smoker,casual drinker,formal,family,medium
U1085,Non-smoker,non-drinker,smart casual,solitary,high
U1086,Non-smoker,heavy drinker,smart casual,Friends,medium
U1087,Non-smoker,non-drinker,smart casual,solitary,medium
U1088,Non-smoker,non-drinker,informal,family,medium
U1089,Smoker,casual drinker,informal,family,low
U1090,Non-smoker,heavy drinker,smart casual,friends,medium
U1091,Non-smoker,casual drinker,smart casual,family,low
U1092,Non-smoker,non-drinker,formal,solitary,medium
U1093,Smoker,casual drinker,smart casual,family,medium
U1094,Non-smoker,non-drinker,informal,friends,medium
U1095,Non-smoker,non-drinker,formal,family,medium
U1096,Non-smoker,non-drinker,formal,family,medium
U1097,Non-smoker,non-drinker,formal,family,medium
U1098,Non-smoker,heavy drinker,formal,solitary,medium
U1099,Smoker,heavy drinker,informal,friends,high
U1100,Non-smoker,casual drinker,formal,friends,medium
U1101,Non-smoker,casual drinker,smart casual,friends,low
U1102,Non-smoker,heavy drinker,smart casual,friends,low
U1103,Non-smoker,non-drinker,formal,family,medium
U1104,Smoker,casual drinker,smart casual,family,medium
U1105,Non-smoker,heavy drinker,formal,Friends,medium
U1106,Non-smoker,casual drinker,informal,friends,medium
U1107,Non-smoker,non-drinker,smart casual,family,high
U1108,Non-smoker,non-drinker,informal,solitary,medium
U1109,Non-smoker,non-drinker,formal,solitary,low
U1110,Non-smoker,non-drinker,smart casual,family,medium
U1111,Smoker,casual drinker,formal,friends,medium
U1112,Smoker,casual drinker,formal,friends,medium
U1113,Non-smoker,casual drinker,formal,family,medium
U1114,Non-smoker,non-drinker,smart casual,family,medium
U1115,Smoker,heavy drinker,formal,friends,low
U1116,Non-smoker,heavy drinker,formal,friends,medium
U1117,Non-smoker,non-drinker,smart casual,friends,medium
U1118,Smoker,casual drinker,informal,friends,medium
U1119,Non-smoker,non-drinker,formal,family,medium
U1120,Non-smoker,non-drinker,informal,friends,low
U1121,Non-smoker,casual drinker,smart casual,family,medium
U1122,Non-smoker,non-drinker,Formal,friends,high
U1123,Non-smoker,non-drinker,informal,family,medium
U1124,Non-smoker,casual drinker,informal,friends,low
U1125,Non-smoker,casual drinker,formal,friends,low
U1126,Non-smoker,casual drinker,formal,friends,low
U1127,Non-smoker,non-drinker,smart casual,solitary,low
U1128,Non-smoker,casual drinker,smart casual,friends,low
U1129,Non-smoker,casual drinker,smart casual,friends,low
U1130,Non-smoker,non-drinker,formal,solitary,High
U1131,Smoker,heavy drinker,smart casual,friends,medium
U1132,Non-smoker,casual drinker,informal,solitary,medium
U1133,Non-smoker,non-drinker,smart casual,family,medium
U1134,Non-smoker,casual drinker,smart casual,family,medium
U1135,Non-smoker,casual drinker,informal,family,low
U1136,Smoker,heavy drinker,smart casual,friends,low
U1137,Non-smoker,heavy drinker,formal,friends,low
U1138,Non-smoker,heavy drinker,formal,friends,medium
